ds,y
2014-01-24,12.45
2014-01-27,12.35
2014-01-28,12.05
2014-01-29,11.85
2014-01-30,11.5
2014-01-31,11.0
2014-02-03,11.2
2014-02-04,11.35
2014-02-05,11.45
2014-02-06,11.95
2014-02-07,11.85
2014-02-10,11.75
2014-02-11,11.8
2014-02-12,11.8
2014-02-13,11.7
2014-02-14,11.8
2014-02-17,11.65
2014-02-18,11.55
2014-02-19,11.4
2014-02-20,11.4
2014-02-21,11.4
2014-02-24,11.45
2014-02-25,11.55
2014-02-26,11.65
2014-02-27,11.65
2014-02-28,11.7
2014-03-03,11.7
2014-03-04,11.7
2014-03-05,11.7
2014-03-06,11.8
2014-03-07,11.75
2014-03-10,11.8
2014-03-11,11.8
2014-03-12,11.9
2014-03-13,12.35
2014-03-14,12.05
2014-03-17,12.1
2014-03-18,12.2
2014-03-19,12.3
2014-03-20,12.5
2014-03-21,12.6
2014-03-24,12.35
2014-03-25,12.35
2014-03-26,12.45
2014-03-27,12.35
2014-03-28,12.3
2014-03-31,12.35
2014-04-01,12.35
2014-04-02,12.4
2014-04-03,12.5
2014-04-04,12.4
2014-04-07,12.45
2014-04-08,12.35
2014-04-09,12.45
2014-04-10,12.75
2014-04-11,12.75
2014-04-14,12.85
2014-04-15,13.1
2014-04-16,13.2
2014-04-17,13.2
2014-04-22,13.2
2014-04-23,13.0
2014-04-24,13.2
2014-04-25,13.05
2014-04-28,13.05
2014-04-29,13.05
2014-04-30,13.1
2014-05-02,13.1
2014-05-05,13.0
2014-05-06,12.8
2014-05-07,12.9
2014-05-08,12.8
2014-05-09,12.85
2014-05-12,12.9
2014-05-13,12.85
2014-05-14,12.6
2014-05-15,12.6
2014-05-16,12.85
2014-05-19,13.0
2014-05-20,13.05
2014-05-21,13.05
2014-05-22,13.0
2014-05-23,12.95
2014-05-26,13.0
2014-05-27,13.0
2014-05-28,12.95
2014-05-29,13.0
2014-05-30,12.95
2014-06-03,12.8
2014-06-04,12.8
2014-06-05,12.8
2014-06-06,12.8
2014-06-09,12.85
2014-06-10,12.85
2014-06-11,12.9
2014-06-12,12.95
2014-06-13,12.9
2014-06-16,12.85
2014-06-17,12.85
2014-06-18,12.8
2014-06-19,12.8
2014-06-20,12.8
2014-06-23,12.8
2014-06-24,12.65
2014-06-25,12.55
2014-06-26,12.4
2014-06-27,12.45
2014-06-30,12.45
2014-07-01,12.65
2014-07-02,12.95
2014-07-03,12.75
2014-07-04,12.7
2014-07-07,12.75
2014-07-08,12.75
2014-07-09,12.7
2014-07-10,12.55
2014-07-11,12.4
2014-07-14,12.35
2014-07-15,12.3
2014-07-16,12.15
2014-07-17,12.05
2014-07-18,12.1
2014-07-21,12.0
2014-07-22,11.95
2014-07-23,12.05
2014-07-24,12.0
2014-07-25,12.2
2014-07-28,12.0
2014-07-30,12.05
2014-07-31,12.2
2014-08-01,12.45
2014-08-04,12.5
2014-08-05,12.6
2014-08-06,12.95
2014-08-07,12.9
2014-08-08,12.8
2014-08-11,12.75
2014-08-12,12.8
2014-08-13,12.75
2014-08-14,12.8
2014-08-15,12.7
2014-08-18,12.75
2014-08-19,12.75
2014-08-20,12.8
2014-08-21,12.75
2014-08-22,12.75
2014-08-25,12.75
2014-08-26,12.75
2014-08-27,12.75
2014-08-28,12.75
2014-08-29,12.95
2014-09-01,13.15
2014-09-02,13.2
2014-09-03,13.4
2014-09-04,13.2
2014-09-05,13.2
2014-09-08,13.25
2014-09-09,13.25
2014-09-10,13.15
2014-09-11,12.95
2014-09-12,12.9
2014-09-15,12.9
2014-09-16,12.85
2014-09-17,12.5
2014-09-18,12.6
2014-09-19,12.6
2014-09-22,12.6
2014-09-23,12.55
2014-09-24,12.55
2014-09-25,12.6
2014-09-26,12.7
2014-09-29,12.85
2014-09-30,12.9
2014-10-01,12.95
2014-10-02,12.75
2014-10-03,12.7
2014-10-06,12.65
2014-10-07,12.75
2014-10-08,12.85
2014-10-09,12.85
2014-10-10,12.8
2014-10-13,12.75
2014-10-14,12.65
2014-10-15,12.55
2014-10-16,12.5
2014-10-17,12.15
2014-10-21,12.15
2014-10-22,12.45
2014-10-23,12.55
2014-10-24,12.25
2014-10-27,12.2
2014-10-28,12.1
2014-10-29,12.15
2014-10-30,12.15
2014-10-31,12.15
2014-11-03,12.2
2014-11-04,12.2
2014-11-05,12.7
2014-11-06,12.8
2014-11-07,12.95
2014-11-10,12.95
2014-11-11,13.0
2014-11-12,13.35
2014-11-13,13.55
2014-11-14,13.7
2014-11-17,13.75
2014-11-18,13.75
2014-11-19,13.7
2014-11-20,13.65
2014-11-21,13.6
2014-11-24,13.45
2014-11-25,13.55
2014-11-26,13.8
2014-11-27,13.9
2014-11-28,13.8
2014-12-01,13.9
2014-12-02,13.95
2014-12-03,14.2
2014-12-04,14.55
2014-12-05,14.8
2014-12-08,15.0
2014-12-09,15.0
2014-12-10,14.65
2014-12-11,14.05
2014-12-15,13.95
2014-12-16,13.9
2014-12-17,13.4
2014-12-18,13.35
2014-12-19,13.5
2014-12-22,13.45
2014-12-23,13.9
2014-12-24,14.0
2014-12-29,14.05
2014-12-30,14.1
2014-12-31,14.05
2015-01-02,14.15
2015-01-05,14.05
2015-01-06,13.9
2015-01-07,13.9
2015-01-08,13.75
2015-01-09,13.75
2015-01-12,13.85
2015-01-13,14.7
2015-01-14,14.85
2015-01-15,14.6
2015-01-16,14.85
2015-01-19,14.55
2015-01-20,13.95
2015-01-21,14.2
2015-01-22,14.2
2015-01-23,14.15
2015-01-26,14.0
2015-01-27,14.1
2015-01-28,14.15
2015-01-29,14.1
2015-01-30,14.15
2015-02-02,14.25
2015-02-03,14.3
2015-02-04,14.45
2015-02-05,14.55
2015-02-06,14.55
2015-02-09,14.8
2015-02-10,14.8
2015-02-11,14.85
2015-02-12,14.75
2015-02-13,14.85
2015-02-16,14.85
2015-02-17,14.85
2015-02-18,14.95
2015-02-19,15.15
2015-02-20,15.35
2015-02-23,15.45
2015-02-24,15.7
2015-02-25,15.9
2015-02-26,15.75
2015-02-27,15.8
2015-03-02,15.65
2015-03-03,15.4
2015-03-04,15.45
2015-03-05,15.7
2015-03-06,15.8
2015-03-09,15.55
2015-03-10,15.75
2015-03-11,15.85
2015-03-12,15.95
2015-03-13,15.8
2015-03-16,15.65
2015-03-17,15.6
2015-03-18,15.75
2015-03-19,15.9
2015-03-20,15.85
2015-03-23,15.9
2015-03-24,16.0
2015-03-25,16.1
2015-03-26,16.45
2015-03-27,16.6
2015-03-30,16.7
2015-03-31,17.05
2015-04-01,17.0
2015-04-02,16.6
2015-04-07,15.9
2015-04-08,15.95
2015-04-09,16.35
2015-04-10,15.9
2015-04-13,16.0
2015-04-14,16.1
2015-04-15,16.3
2015-04-16,16.75
