Date,Price,Open,High,Low,Vol.,Change %
2020-01-09,32.8,32.0,33.5,31.7,4160000.0,2.98
2020-01-08,31.85,31.2,32.5,31.2,3470000.0,0.95
2020-01-07,31.55,31.55,31.7,31.3,7750000.0,0.16
2020-01-06,31.5,31.7,31.7,31.05,1900000.0,-0.16
2020-01-03,31.55,31.6,31.8,31.0,905000.0,0.8
2020-01-02,31.3,31.6,31.6,31.0,349300.0,-0.63
2019-12-31,31.5,31.45,31.6,31.0,6330000.0,0.48
2019-12-30,31.35,31.5,31.5,30.0,5300000.0,-0.32
2019-12-27,31.45,31.5,32.0,31.0,938970.0,-0.79
2019-12-24,31.7,31.5,32.0,30.3,3070000.0,0.16
2019-12-23,31.65,30.5,32.0,30.0,7620000.0,1.12
2019-12-20,31.3,30.6,31.5,30.6,36520000.0,1.29
2019-12-19,30.9,30.5,31.1,30.2,4870000.0,2.32
2019-12-18,30.2,30.0,30.5,29.55,5330000.0,0.67
2019-12-17,30.0,30.0,30.1,29.5,21000000.0,-0.17
2019-12-16,30.05,30.25,30.3,29.8,4850000.0,-0.83
2019-12-13,30.3,30.15,30.5,30.0,14790000.0,0.17
2019-12-11,30.25,30.1,30.6,30.0,3520000.0,0.33
2019-12-10,30.15,30.0,30.25,29.8,15070000.0,0.17
2019-12-09,30.1,29.75,30.25,29.6,8820000.0,0.33
2019-12-06,30.0,29.75,30.25,29.45,5930000.0,1.87
2019-12-05,29.45,29.5,30.0,29.4,13170000.0,0.17
2019-12-04,29.4,29.05,29.5,29.0,5230000.0,-0.34
2019-12-03,29.5,29.45,29.75,29.15,5820000.0,0.34
2019-12-02,29.4,29.25,29.8,29.0,3390000.0,0.51
2019-11-29,29.25,29.0,29.95,29.0,14900000.0,1.04
2019-11-28,28.95,28.9,29.1,28.45,3810000.0,0.17
2019-11-27,28.9,28.75,29.0,28.7,4310000.0,0.17
2019-11-26,28.85,28.5,29.0,28.5,2350000.0,-0.17
2019-11-25,28.9,28.1,29.0,28.0,3340000.0,1.58
2019-11-22,28.45,28.45,29.0,28.1,13370000.0,-0.18
2019-11-21,28.5,28.95,28.95,28.25,10720000.0,-0.35
2019-11-20,28.6,29.5,29.5,28.55,1200000.0,0.18
2019-11-19,28.55,28.7,29.0,28.25,2840000.0,0.0
2019-11-18,28.55,29.95,29.95,28.4,4099999.9999999995,-0.7
2019-11-15,28.75,29.95,29.95,28.6,7560000.0,-4.01
2019-11-14,29.95,30.0,30.0,29.0,9540000.0,2.22
2019-11-13,29.3,29.0,30.0,28.7,2180000.0,1.03
2019-11-12,29.0,29.85,29.85,28.65,15140000.0,-1.36
2019-11-11,29.4,29.85,29.85,28.0,3250000.0,-2.0
2019-11-08,30.0,30.5,30.5,29.8,5180000.0,-3.85
2019-11-07,31.2,30.95,31.5,30.8,10560000.0,1.63
2019-11-06,30.7,30.5,31.25,30.5,40260000.0,0.66
2019-11-05,30.5,30.5,30.55,30.4,6700000.0,0.33
2019-11-04,30.4,29.8,30.6,29.8,8530000.0,0.33
2019-11-01,30.3,29.8,30.95,29.8,7080000.0,1.85
2019-10-31,29.75,28.9,29.85,28.9,23210000.0,1.71
2019-10-30,29.25,28.85,29.6,28.85,22250000.0,1.21
2019-10-29,28.9,29.0,29.0,28.8,4310000.0,0.17
2019-10-28,28.85,28.8,28.95,28.8,2600000.0,0.52
2019-10-25,28.7,28.5,28.9,28.5,24190000.0,0.35
2019-10-24,28.6,28.4,28.75,28.4,3020000.0,0.35
2019-10-23,28.5,28.25,28.55,28.25,3800000.0,0.18
2019-10-22,28.45,28.45,28.55,27.8,16059999.999999998,0.71
2019-10-18,28.25,28.0,28.5,28.0,3180000.0,-0.7
2019-10-17,28.45,27.9,28.5,27.85,5110000.0,1.97
2019-10-16,27.9,28.0,28.0,27.0,8240000.0,0.0
2019-10-15,27.9,28.0,28.3,27.7,502170.0,-0.36
2019-10-14,28.0,28.0,28.45,27.9,1130000.0,-1.58
2019-10-11,28.45,29.0,29.0,28.2,4500000.0,0.53
2019-10-09,28.3,28.0,28.45,28.0,3540000.0,0.35
2019-10-08,28.2,28.0,28.35,28.0,1730000.0,1.26
2019-10-07,27.85,27.75,28.55,27.75,4760000.0,-0.71
2019-10-04,28.05,28.05,28.5,27.8,9270000.0,-0.18
2019-10-03,28.1,27.8,28.2,27.8,5610000.0,1.63
2019-10-02,27.65,27.55,28.0,27.5,8350000.0,0.36
2019-10-01,27.55,27.25,27.75,27.25,8740000.0,0.18
2019-09-30,27.5,27.2,28.0,27.2,1390000.0,1.48
2019-09-27,27.1,27.15,27.4,27.1,6840000.0,-0.18
2019-09-26,27.15,27.5,27.5,27.0,2450000.0,-1.45
2019-09-25,27.55,28.0,28.0,27.4,30530000.0,0.18
2019-09-24,27.5,27.5,27.75,27.35,4280000.0,0.0
2019-09-23,27.5,27.5,27.6,27.4,1200000.0,0.55
2019-09-20,27.35,27.25,28.0,27.25,5860000.0,0.55
2019-09-19,27.2,27.15,27.5,27.15,2750000.0,-0.18
2019-09-18,27.25,27.2,27.5,27.15,1080000.0,0.37
2019-09-17,27.15,27.5,27.7,27.05,5060000.0,-0.18
2019-09-16,27.2,27.1,27.35,27.1,1360000.0,0.18
2019-09-13,27.15,27.1,27.4,27.05,1510000.0,0.0
